year_month_day,trade_count,trade_revenue_xtz,primary_revenue_xtz,secondary_revenue_xtz,unique_sellers,unique_collectors
2021-08-01,4037.0,19513.20470300007,10017.928046000035,9495.276656999993,933.0,1036.0
2021-08-02,4477.0,26023.397129000008,17450.19465999999,8573.20246899999,1030.0,1154.0
2021-08-03,5582.0,24049.04881800013,12605.59092000004,11443.457897999984,984.0,1448.0
2021-08-04,5837.0,27456.280667999938,14208.969990000085,13247.310677999987,1122.0,1455.0
2021-08-05,5295.0,24914.132492999965,13456.092873000036,11458.039619999992,1116.0,1329.0
2021-08-06,3906.0,24000.991904999955,9358.049545000033,14642.94235999999,939.0,1162.0
2021-08-07,3968.0,19899.90303499999,10199.631935000029,9700.271099999987,830.0,1068.0
2021-08-08,4121.0,22223.61283999988,12269.106080000076,9954.506759999986,908.0,1021.0
2021-08-09,5744.0,53848.03769700003,16501.021627000053,37347.01607000001,1151.0,1266.0
2021-08-10,7167.0,40050.466435999144,17430.071222000603,22620.395213999996,1288.0,1500.0
2021-08-11,12021.0,44879.85100399912,31017.54111500276,13862.309888999956,1394.0,1836.0
2021-08-12,9768.0,29344.806826001448,17634.879667000612,11709.927158999983,1402.0,1754.0
2021-08-13,9737.0,45280.39124400028,26047.52219100035,19232.869053,1488.0,1809.0
2021-08-14,6853.0,56296.77355199957,34019.0077569999,22277.765795000087,1314.0,1464.0
2021-08-15,6355.0,54484.40909500002,35498.698956000255,18985.710139000006,1237.0,1379.0
2021-08-16,6441.0,66431.7993259998,39677.77652700003,26754.022799000042,1311.0,1503.0
2021-08-17,7654.0,104177.3495310005,35368.05953900016,68809.289992,1546.0,1634.0
2021-08-18,10126.0,69565.1417030004,32755.033422999844,36810.10828000009,1633.0,1924.0
2021-08-19,9836.0,69188.97072599972,35188.77834599998,34000.19238000002,1662.0,1853.0
2021-08-20,8937.0,64757.90342699969,31055.028869999987,33702.87455700011,1544.0,1825.0
2021-08-21,9321.0,65727.01719799828,31614.01910899982,34112.99808900013,1514.0,1646.0
2021-08-22,11049.0,89611.46294999919,33406.06541099985,56205.39753900002,1779.0,1682.0
2021-08-23,13428.0,104144.15934499908,49621.559676000055,54522.599669000105,1999.0,2105.0
2021-08-24,14510.0,116109.22865300093,54623.51157499977,61485.71707800001,1951.0,2180.0
2021-08-25,16041.0,177536.4380240022,97491.72765400079,80044.7103700003,2225.0,2343.0
