Block level,Datetime,Operation,Received XTZ,Received EUR,From address,Sent XTZ,Sent EUR,Fee XTZ,Fee EUR,To address,Explorer link
2146893,2022-02-25 02:40:14,transaction,0.15,0.4174851198040826,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooHGm9FjdNnAQcP76E6upZ7gEHwsZcUpYkiukk4iNYvYdpqiqaT/51029089/60
2146893,2022-02-25 02:40:14,transaction,0.5555,1.5460865603411191,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooFZVnCAJPJaBq6LZoErFHY6vFfgakozxs6dJCSgxtc9o6BJQTb/15427775/64
2146893,2022-02-25 02:40:14,transaction,0.005,0.013916170660136087,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/opULQWsKYDDuZA8GXzgPUMJgRmT7dAob2YoxFDMGJ8QV8WX7fy9/50623593/68
2146898,2022-02-25 02:42:44,transaction,0.0125,0.03479042665034022,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opRdpRFF6EpFjo8XgPS6bq3BxWjtWMpNkyDikNHCn4fWE4yu296/14091141/16
2146913,2022-02-25 02:50:14,transaction,0.1,0.278171271435069,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/op8oXP9ZLJPSPQkKuGxhV1KXfzZYCf8rBGh36sRfVYk94MRqmH9/17579526/24
2146913,2022-02-25 02:50:14,transaction,0.2,0.556342542870138,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oodcdoaZqhootu7EmEw1Agamv7PCiufaAfytNF2wwUnNaxfB1rx/51029090/28
2146913,2022-02-25 02:50:14,transaction,0.024,0.06676110514441656,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooyfKESpfjQTU4FQZzWiuCjmT2ybwWjWQNV5oY4sBXigSJ4dwoe/50623594/32
2146914,2022-02-25 02:50:44,transaction,0.0175,0.04867997250113708,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onhUZCh3VrH3zSpr4Y6pMQuYoTCnvRJ4xMksNHjjvtRfvM927ew/36594232/7
2146915,2022-02-25 02:51:14,transaction,0.024,0.06676110514441656,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opDLMbVwL7HMrWtsX44C4NQiryNA27urhzP64YsHykph91Ri5hk/50623595/24
2146917,2022-02-25 02:52:14,transaction,0.025,0.06954281785876724,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooeS33zEgUKXuYQmZ8w3E557WHtypEFdJAWw4xq4bNu8d2r2Qik/46987005/22
